,n_obs,alpha_ann,t_alpha_ols,t_alpha_hac,p_alpha_hac,r2,adj_r2,resid_vol_ann,info_ratio,aic,bic,beta_Mkt-RF,t_Mkt-RF,beta_SMB,t_SMB,beta_HML,t_HML,beta_RMW,t_RMW,beta_CMA,t_CMA,beta_Mom,t_Mom,p_alpha_bh
BRK-B,259.0,0.030492899537661114,0.999218461927146,1.1026257213693114,0.27124163851804095,0.39707592651867596,0.3827205914357873,0.13655026080832552,0.22330898056989978,-1668.0575425293425,-1643.1597460974458,0.6683957861930327,7.557070578237741,-0.3719012998525267,-3.6262499035784077,0.4116412840647849,3.256281205054823,0.07613919533138214,0.6654447925645763,0.10783953974660365,0.6228337558484909,-0.04738679013763984,-0.6330735893818409,0.4771729653564801
ARKK,141.0,0.017228645910542455,0.3370371417831891,0.39216523242920803,0.6955591682374873,0.7909595975419128,0.7815995795214015,0.16764894905818206,0.10276620287409798,-847.1705974513536,-826.5292782187064,1.517833483891183,13.020202621828874,0.6455551913652218,4.140119470271259,-0.8096029394005234,-4.623171263031741,-1.0336984246287582,-4.22196318103416,-0.32792403550311344,-1.113370800714877,-0.18986315861599706,-1.7857095913789818,0.6976324105645357
VTV,259.0,-0.006726345415938441,-0.9323124763626525,-1.0710300677362938,0.2851806051626866,0.9530632020996449,0.9519456592924936,0.03228285461916407,-0.20835658727482795,-2415.0946019409453,-2390.1968055090483,0.9045183352529218,44.06934835579577,-0.08001989662979493,-2.651198521809667,0.3027882689549813,9.961514333457162,0.057564978071324574,1.7900362709797255,0.19720562446568368,3.8958213822785153,-0.013061859553775243,-0.8407285749830075,0.4771729653564801
MTUM,160.0,-0.006061234545976541,-0.37880498045767635,-0.3892500526143933,0.6976324105645357,0.8920822562459579,0.8878501878634465,0.055587732570622564,-0.10903906789642702,-1315.4764835530518,-1293.950266846415,1.0937040802127305,31.39995594721486,-0.12405175494664909,-2.375365589288333,-0.016813704456517423,-0.3010806501476015,-0.26420937333934114,-2.147517069531401,0.08341688284183382,0.9084617020954446,0.4420470440466582,8.261390043708502,0.6976324105645357
QUAL,157.0,-0.00862559137508734,-0.8986150409459243,-1.0438522589203534,0.29823310334780007,0.9506340655593172,0.9486594281816899,0.033020206912130534,-0.26122160282159174,-1454.230764595579,-1432.8370439581408,0.966183187344634,42.030084271474294,-0.0726121316946466,-2.545246624932727,-0.030436541650779466,-0.9689447784150668,0.17572924018463523,3.7498046731739687,0.017171267417429047,0.3101726365510139,0.012101496242224782,0.4908435541511046,0.4771729653564801
IWM,259.0,-0.00905121561478401,-2.1171351331605694,-2.2842205836889202,0.023190711910220152,0.990949748152975,0.990734265966141,0.019129895256186157,-0.47314506920036903,-2686.15569554338,-2661.257899111483,1.0095796449990984,100.25152044328136,0.8478162058835012,46.84236229048551,0.09246442215551239,4.614769340702747,-0.09758402813764311,-4.548346783053243,-0.04530750702600022,-1.9650994282327883,0.05199031188957116,5.328029600084759,0.18552569528176122
USMV,178.0,-0.008167927329492734,-0.5587662986596474,-0.5640021514014866,0.5734916242740242,0.7802517425061821,0.7725412773309605,0.053044433895408055,-0.1539827410656901,-1480.8933640543487,-1458.6208792023042,0.7116652488748917,16.32120748812551,-0.0653043737556269,-1.2901825104406108,-0.03627440217297565,-0.41739798725938426,0.3079155209602416,5.907687541085175,0.22257792006762314,2.169024951636818,0.09645375023210019,2.59208461319566,0.6976324105645357
Project-1 multi-asset portfolio,259.0,0.013188427169750765,1.3477874203543223,1.4144650377478494,0.15845975878376284,0.8176965837913048,0.8133560262625263,0.04378505176631514,0.30120844072855313,-2257.2308889390606,-2232.3330925071637,0.6128255947090707,27.7293764227743,-0.08415184891849119,-2.3986744051316937,-0.09185000805596863,-2.3584162888552433,0.04609894473534902,1.0335297934438397,0.038470829332314514,0.7134056419623714,-0.033009187339370666,-1.7019661551134082,0.4771729653564801
