,n_obs,alpha_ann,t_alpha_ols,t_alpha_hac,p_alpha_hac,r2,adj_r2,resid_vol_ann,info_ratio,aic,bic,beta_Mkt-RF,t_Mkt-RF,beta_SMB,t_SMB,beta_HML,t_HML,beta_Mom,t_Mom,beta_RMW,t_RMW,beta_CMA,t_CMA
CAPM,259.0,0.0372002588654879,1.1672323956907373,1.2293578585965483,0.2200619935457102,0.30160427511123844,0.2988867820182861,0.1455277170603033,0.2556231872315634,-1639.9859387883046,-1632.8722826649055,0.6229798280091896,8.094156686075173,,,,,,,,,,
FF3,259.0,0.032458688266837385,1.0854015514303517,1.2551607973695404,0.21056942824589076,0.3935758568757656,0.38644145519195106,0.13613808692906867,0.23842474210577946,-1672.558353865302,-1658.3310416185038,0.667527786600863,8.651190415155648,-0.38833955457864555,-4.372658707134321,0.47848915091479893,5.6058235049728955,,,,,,
Carhart4,259.0,0.03446286904300388,1.1468009335839353,1.301610545091054,0.1942288348769008,0.3949001968573995,0.3853710660992484,0.1362567856460528,0.252925891944393,-1671.124589791418,-1653.3404494829203,0.6553975500662848,7.798350510240451,-0.39616290260009884,-4.341813295270556,0.4615252413190608,4.990641958400703,-0.04621502915730134,-0.6429245410444014,,,,
FF5,259.0,0.028215875410561593,0.930002830147664,1.0545339350486023,0.2926445418538297,0.39572666546988966,0.38378450470842507,0.13643253430940147,0.20681192761965175,-1669.4785837694376,-1648.1376153992403,0.6799766126167598,8.26260083933773,-0.3618566244695022,-3.663318032166704,0.4344554494677953,3.659287284949601,,,0.08786646371876697,0.8103353049430034,0.09074750341721857,0.522005419019268
FF5+Mom,259.0,0.030492899537661114,0.999218461927146,1.1026257213693114,0.27124163851804095,0.39707592651867596,0.3827205914357873,0.13655026080832552,0.22330898056989978,-1668.0575425293425,-1643.1597460974458,0.6683957861930327,7.557070578237741,-0.3719012998525267,-3.6262499035784077,0.4116412840647849,3.256281205054823,-0.04738679013763984,-0.6330735893818409,0.07613919533138214,0.6654447925645763,0.10783953974660365,0.6228337558484909
