,alpha,Mkt-RF,SMB,HML,RMW,CMA,Mom,alpha_ann
2017-10-31,0.006723635327700447,0.9369534635010486,0.5230254103953362,-1.091290271646746,-0.42280861898598576,-1.1590643958471458,-0.3938844490369716,0.08068362393240536
2017-11-30,0.007873968287627289,0.9927731949682548,0.5045516900200201,-1.1586444329545955,-0.32187738334942795,-1.0379415813694097,-0.38813839116769344,0.09448761945152746
2017-12-31,0.008579679744187335,0.996281785438264,0.5007865150898461,-1.169728387644287,-0.34064348967796837,-0.9796490016064909,-0.3827552951580662,0.10295615693024801
2018-01-31,0.009115597389865004,1.0986490556013155,0.4080911489071282,-1.155307078080419,-0.42202198842950606,-0.8841298034688385,-0.31321980217415596,0.10938716867838005
2018-02-28,0.010428784567076787,1.1718537548740056,0.40507127828842526,-1.2253242361772403,-0.5079947957225259,-0.9715474670664421,-0.3819186358478407,0.12514541480492145
2018-03-31,0.009369886871509296,1.223131717901095,0.3956724268518682,-1.1661140817112303,-0.4577302367693094,-0.9897031349747022,-0.3196543052336904,0.11243864245811155
2018-04-30,0.009402001479758492,1.2144170888696617,0.3725933734377108,-1.1483867481470191,-0.4421441886271299,-1.0470384950555758,-0.3505753990137433,0.11282401775710191
2018-05-31,0.009613753229040359,1.2233870683525754,0.39242123412207863,-1.1573094036512752,-0.4585459853127907,-1.0292515278758982,-0.3255610705464276,0.1153650387484843
2018-06-30,0.009834933903956884,1.204529691316762,0.46312614927084655,-1.1161921579466334,-0.4072431473032349,-1.1152692844533931,-0.282319649215517,0.1180192068474826
2018-07-31,0.009897467267862635,1.2439330889588014,0.46103869879157844,-1.1415540310231909,-0.4622071837669634,-1.0524838762808577,-0.09731278723266998,0.11876960721435162
2018-08-31,0.0066860107607291525,1.3840985654046367,0.44794105837592907,-1.1774543428554944,-0.4774519220294048,-0.9751683151252583,-0.035327403765227895,0.08023212912874983
2018-09-30,0.005299265233074184,1.38036876154911,0.5130093805942667,-1.0831481690339606,-0.4141646067581557,-1.1560652925974872,-0.0163000717825097,0.06359118279689022
2018-10-31,0.010741144531317888,1.2737273371996345,0.2462760674545187,-1.0567594465188614,-0.5399618769257574,-0.9090180888063126,-0.12976453844467015,0.12889373437581467
2018-11-30,0.010526577157179258,1.2921578746191316,0.21077257708590855,-1.0625209859239664,-0.5284357071351515,-0.8870605302306883,-0.15064646278967989,0.1263189258861511
2018-12-31,0.00905595636378732,1.3965580455622457,0.19931927254458845,-1.0475916710920583,-0.5012592170949212,-0.825776599828169,-0.12094971151619323,0.10867147636544784
2019-01-31,0.010991650278966059,1.3589985468730115,0.17596607824357796,-1.0116208647377285,-0.35917872983426596,-0.6699447112052304,-0.04863465101605196,0.13189980334759271
2019-02-28,0.009696732377773996,1.372089821117286,0.11586965911074319,-0.9336819325524184,-0.5357762164905177,-0.7545741368640427,-0.013794434407775896,0.11636078853328795
2019-03-31,0.008127651876952751,1.2893710292261593,0.21236046887163113,-0.8320251405054058,-0.5755009741899494,-0.8825041514035578,0.012357891780846241,0.09753182252343301
2019-04-30,0.007827030087088172,1.283579777454421,0.22416476566341328,-0.9220115740324709,-0.7123007454216906,-0.7004676489601227,0.0309555217121245,0.09392436104505807
2019-05-31,0.006226502166676079,1.33226691873057,0.160847258600728,-0.8484706775032,-0.8148285686739263,-1.0241696480202538,-0.11181521101720618,0.07471802600011296
2019-06-30,0.006897191172959394,1.4345149367059264,0.10755612412737886,-0.8866677707160928,-0.830946973151251,-0.9415769695410168,-0.1379360455890353,0.08276629407551273
2019-07-31,0.007244165395792408,1.4273260549414972,0.14110239262346905,-0.9074618078728124,-0.7710866686758423,-0.9563961456534692,-0.15938918301106708,0.08692998474950889
2019-08-31,0.0066819190052675136,1.3774424163158052,0.12462050311396262,-0.7595517615197029,-0.9939711407019312,-1.231120566542789,-0.3480324135277515,0.08018302806321016
2019-09-30,0.006013069166729551,1.397180060293028,0.12348371301663327,-0.7134637609261159,-0.7404616307521138,-1.1645763229792592,-0.33550926951590204,0.07215683000075462
2019-10-31,0.0068751826788288105,1.3685533477722807,0.00950491224767768,-0.5390985115252406,-0.82089826518549,-1.2973853935528639,-0.31786866588791785,0.08250219214594573
2019-11-30,0.006932299995908119,1.3458404351064728,-0.09437717839385613,-0.6081817213043602,-1.0309623357724274,-1.408252961648449,-0.4081527936406296,0.08318759995089743
2019-12-31,0.0062192359193300635,1.3252148994932698,-0.10848685532110225,-0.6024879687933681,-1.0306233230032278,-1.4844220155102312,-0.41000162454982386,0.07463083103196076
2020-01-31,0.0056243591171127715,1.328061663468152,0.019071944034241436,-0.5053785929213618,-0.8138105645221121,-1.4478495223242556,-0.35003715451775425,0.06749230940535325
2020-02-29,0.00824271230211844,1.1976007343434967,-0.09424624760887672,-0.5184810262819007,-1.0438777996125628,-1.8157172472521894,-0.5351035695272517,0.09891254762542129
2020-03-31,0.008789214948843348,1.2134565374206112,-0.03454961605515304,-0.34509228708701933,-0.9648271734030474,-1.9795361956324546,-0.49154913850658094,0.10547057938612017
2020-04-30,0.008789424023272815,1.2947417496009719,0.04791325814966544,-0.49442493041822244,-0.7246777916453281,-1.8409827806601535,-0.52112507294739,0.10547308827927378
2020-05-31,0.007624584975311186,1.2924452980332328,0.09743772712837029,-0.4291587476128654,-0.8655838600337661,-1.7090332685851126,-0.4828844679692299,0.09149501970373423
2020-06-30,0.010321605289104006,1.3075126498670924,0.2715420516655632,-0.5418743109571601,-0.8169859158358613,-1.4810909075548289,-0.4702774082270653,0.12385926346924807
2020-07-31,0.011389558706732155,1.4718867903141515,0.18850493066691057,-0.4841157074379603,-0.8579883263637488,-1.1919509171966058,-0.24487706046562008,0.13667470448078586
2020-08-31,0.007348815081177162,1.5181546089000388,0.3634707025021876,-0.7069640324431746,-0.36748813619981857,-0.770978128364464,-0.24803945567691238,0.08818578097412594
2020-09-30,0.008969901589691746,1.5369837514857871,0.4692335250527454,-0.6913430134347589,-0.42362488214867,-0.6088181125855205,-0.21083674615876602,0.10763881907630095
2020-10-31,0.00943858670153291,1.5319810420206432,0.4646015064870419,-0.6665866564907574,-0.4204599862020102,-0.6505238730648147,-0.2028971013087339,0.11326304041839493
2020-11-30,0.009290284053997724,1.5249542118848693,0.45589290835999907,-0.6541208865228838,-0.3943996051204554,-0.6778874992277057,-0.19111111468065436,0.11148340864797268
2020-12-31,0.009270706407350143,1.5248347097252213,0.45512127777472366,-0.653594225753771,-0.39430046470445823,-0.6798099050195194,-0.1911529007887588,0.11124847688820172
2021-01-31,0.011221782084438945,1.5155986683133726,0.8438400505625376,-0.6893604447070207,-0.3640574656217128,-0.10985834941640346,-0.0025934075350796354,0.13466138501326735
2021-02-28,0.004546873204910696,1.6069608072083068,0.8118885172933175,-0.9513270146776822,-0.39525582804765647,0.3398268181166566,-0.00847358507998759,0.05456247845892835
2021-03-31,0.004584222414070388,1.574802030796357,0.8809024608576695,-0.9885927461434386,-0.566311540760384,0.2414239511260886,-0.014763825945496753,0.055010668968844656
2021-04-30,0.0046448008449947766,1.56972059321139,0.8986755202002419,-1.0051311061834869,-0.6856743457843865,0.3545191932699548,-0.03185226468605909,0.05573761013993732
2021-05-31,0.004501726148448659,1.570479243041653,0.9305691107031148,-1.0337898194666013,-0.7061973436024397,0.3303922399264785,-0.029346011081605165,0.05402071378138391
2021-06-30,0.004969100466773724,1.5794734828169466,0.9381772097938137,-1.0854101148503559,-0.7296651524318551,0.36976464047914825,-0.043569949962280675,0.05962920560128468
2021-07-31,0.005488946832974583,1.6207983803437598,0.8658152513102365,-1.0102089327885944,-0.949025794075369,0.3612062679789491,-0.019773700223182183,0.065867361995695
2021-08-31,0.003988068457943362,1.6012245914500234,0.8793883267306524,-1.0603959451518867,-0.9073236212794313,0.45103577616348955,-0.06968032994461482,0.04785682149532035
2021-09-30,0.0046977384937611335,1.6161174654991792,0.8189783130245394,-1.096254860773569,-0.9207923766551737,0.5440430644787909,-0.10441837799200927,0.056372861925133605
2021-10-31,0.000997895933416514,1.689832677561344,1.0921300370296776,-1.1350474024465749,-0.7541082783252705,0.2955767044206973,0.08115119899361631,0.011974751200998168
2021-11-30,8.759416668912254e-06,1.7222487965914164,1.0100270891937557,-1.0876343434567346,-0.9449087007148548,0.23654463402652712,0.07505264466063426,0.00010511300002694705
2021-12-31,-0.002814857938537367,1.757712673970595,1.0511575221407705,-1.0533787931496832,-1.0402714637765194,0.01645322995218291,0.13303388647160122,-0.0337782952624484
2022-01-31,0.0016240545997823503,1.7682510358586598,0.7038309287544559,-0.9110290303364882,-1.3334001483369373,0.20846706283202146,0.00977234361970717,0.019488655197388204
2022-02-28,0.00031800419756897283,1.7790398358684014,0.6605469759510663,-0.9232504989775584,-1.2997195276675826,0.14732195170476128,-0.016682858800575455,0.0038160503708276738
2022-03-31,-0.0005729341411257033,1.6302460341902396,0.8610173507448639,-0.8583001845162764,-1.0234874544144466,-0.22163602837316337,-0.012585840851828097,-0.00687520969350844
2022-04-30,-0.00014232641551517697,1.6573033111643611,0.7759237170445654,-0.837522829506702,-1.108130836268234,-0.30273443577746806,-0.053254257707590874,-0.0017079169861821237
2022-05-31,0.0014810528883921546,1.6536407544531868,0.802212383421165,-0.7892044152441611,-1.0966667742778735,-0.2991773657117195,0.025034845559731844,0.017772634660705854
2022-06-30,-0.0006126265039016548,1.6392207874428626,0.820026406549564,-0.7830520869738717,-1.085696751061654,-0.2678462667223477,0.04718666755765558,-0.0073515180468198575
2022-07-31,-0.0038005292461753123,1.6132989787843264,0.8564122509390342,-0.8348807522443279,-1.060846111045041,-0.04681126493470698,0.06375545380236297,-0.045606350954103744
2022-08-31,-0.00534222322452998,1.6329841941301513,0.8771586911377265,-0.8533091018795566,-0.888150093625482,-0.06859625191202295,0.13626530563536088,-0.06410667869435976
2022-09-30,-0.004383208333955347,1.6001014890828116,0.9090456406969488,-0.8218955725228083,-0.8960717050872138,-0.17386425635453304,0.20531652231994235,-0.05259850000746417
2022-10-31,-0.003848371436228679,1.577100806596575,0.8735041040581237,-0.830415372309127,-0.928145586004287,-0.21343282456924317,0.15736972940955588,-0.04618045723474415
2022-11-30,-0.005832640803617097,1.564671215167122,0.927857406982017,-0.8342465844741394,-0.8340813590543137,-0.1981866252666127,0.19757280728642806,-0.06999168964340517
2022-12-31,-0.005573868183001061,1.589081397835027,0.8656463930330796,-0.8108121409216081,-0.8851556180845753,-0.2445410162286459,0.15273124979393005,-0.06688641819601274
2023-01-31,-0.0018223840114356357,1.5657472042252678,0.792537203793713,-0.879742635084162,-1.0051872195213392,-0.19474155408947025,-0.08659301810501357,-0.02186860813722763
2023-02-28,-0.0054240847015618885,1.6478401903210793,0.8015783931514882,-0.8649973032601702,-0.9729746303099632,-0.12750323306498126,-0.03850574304826802,-0.06508901641874267
2023-03-31,-0.006093307840687387,1.6395943609861756,0.8566236680233857,-0.8570904923408501,-0.9594621467781193,-0.1296408171088925,-0.014623744568053095,-0.07311969408824864
2023-04-30,-0.007840116299360126,1.604492621578721,0.8657502578973147,-0.7988062821695314,-0.9966858015863269,-0.22873210852041323,-0.002832905156521276,-0.09408139559232151
2023-05-31,-0.006161225046339255,1.5980930891746734,0.847152690191754,-0.7942199654071705,-1.021030037315148,-0.29437355528544357,0.0016927989585639434,-0.07393470055607106
2023-06-30,-0.007892876481248687,1.597820477312581,0.766137786743972,-0.7116371457773139,-1.053026271184,-0.37841553967346553,0.006789631502557185,-0.09471451777498424
2023-07-31,-0.007822620899559062,1.5197998202038911,0.8673671418873697,-0.6737032608394969,-1.0128770103454865,-0.4028760174717632,-0.12426408483299699,-0.09387145079470874
2023-08-31,-0.0106235750055953,1.4341866328983188,0.8075012969168597,-0.6516252551128321,-1.205830825094094,-0.30552477787530014,-0.24103154534883817,-0.1274829000671436
2023-09-30,-0.009128379567088167,1.4039646023591987,0.7848245234196729,-0.6291863039522109,-1.2048376145479842,-0.3514628043252265,-0.24795358311443447,-0.109540554805058
2023-10-31,-0.009128562236996974,1.402063455756801,0.7953250711056803,-0.6280070327476184,-1.2020318557044334,-0.353624368776814,-0.24839588740132593,-0.10954274684396369
2023-11-30,-0.0026691754822437182,1.6477414658041947,0.5543490919483529,-0.4225205714846376,-1.6218296046866987,-0.5105361179678227,-0.13774913480409434,-0.03203010578692462
2023-12-31,-0.0024851790435354813,1.6498621194260625,0.5634564998491471,-0.4458112045764177,-1.6138284230739204,-0.49432027459331124,-0.13179091403058482,-0.029822148522425776
2024-01-31,-0.008405927859786295,1.5970952882257183,0.590035424047019,-0.40716623963473014,-1.4813473349744724,-0.5557220970543214,-0.2711460537851112,-0.10087113431743554
2024-02-29,-0.004850333301017741,1.5809210382616339,0.6525080778869609,-0.10914247954104861,-1.465414961682732,-0.9467112005368987,-0.34579899896542543,-0.0582039996122129
