,BRK-B,ARKK,VTV,MTUM,QUAL,IWM,USMV,Project-1 multi-asset portfolio
2005-01-31,0.031169947238354468,,-0.012110919741063108,,,-0.029607949175425374,,-0.014200729900747232
2005-02-28,0.005413997352263823,,0.03269028136257362,,,0.014819729210594313,,0.013425432870009458
2005-03-31,-0.05483632413615947,,-0.019237098959250864,,,-0.030447739987573007,,-0.019948125575041564
2005-04-30,-0.022408120957694743,,-0.017952995431453577,,,-0.05866956178233696,,-0.001655999320056676
2005-05-31,0.0018888077625680145,,0.02251121854818479,,,0.06224780207706555,,0.02065200954440334
2005-06-30,-0.011730651010659985,,0.011444920350241552,,,0.038462508328351824,,0.00833038246297321
2005-07-31,-0.0029388679770710334,,0.023166690349346333,,,0.06337730896416267,,0.01812866812423182
2005-08-31,-0.005156702609653172,,-0.009011121450940959,,,-0.02303229157562636,,0.003835919095013576
2005-09-30,-0.019110401989523837,,0.01436815226468803,,,-0.0019524993348943726,,0.009614671564447966
2005-10-31,0.028057970304446712,,-0.02911289941056746,,,-0.042012836015024556,,-0.02414532936295096
2005-11-30,0.046633557282490405,,0.032168319359924584,,,0.05444174646230248,,0.031295152984621814
2005-12-31,-0.00979897461451231,,0.0036431505730426333,,,-0.01019982765096463,,0.013238697237205258
2006-01-31,-0.004692295961774292,,0.026760954592400292,,,0.08088207071617697,,0.03126880696515893
2006-02-28,-0.018406839653388227,,0.0054277286095921334,,,-0.00022048199493444843,,-0.0050097012717124495
2006-03-31,0.03923634745500063,,0.01211142453885831,,,0.04538825252420801,,0.0070087310054301275
2006-04-30,-0.023520330835057397,,0.02073682549538885,,,-0.0005729490953269656,,0.014305945983458294
2006-05-31,0.03533414831134338,,-0.028383824312659872,,,-0.06112388379797154,,-0.032696541624673975
2006-06-30,-0.012471822233867221,,0.005050276533231205,,,-0.004417909527378746,,-0.003114584488701052
2006-07-31,-0.0026855403293599665,,0.021257369677301522,,,-0.032579511176285436,,0.005958030458297795
2006-08-31,0.04716201409009233,,0.012493787171210951,,,0.025794890883459525,,0.01783547995252664
2006-09-30,-0.01330868043387225,,0.01742849736415573,,,0.0023157977406605785,,0.009180872201679385
2006-10-31,0.10333546878861931,,0.02729656884449781,,,0.05465017178735563,,0.02399243342363087
2006-11-30,0.007179735243741918,,0.0165006646894361,,,0.01993746231321512,,0.025790746562661875
2006-12-31,0.027223646530895266,,0.02107575629690728,,,-0.0002714693534824307,,-0.0037936921850065773
2007-01-31,-0.0039908513444935475,,0.0033678173438087136,,,0.012516692334516313,,0.009213499315115795
2007-02-28,-0.0432001288311967,,-0.01965266112385353,,,-0.010353251841154739,,-0.004104024607366226
2007-03-31,0.028910388840338114,,0.01260145152351219,,,0.005502544822784975,,0.0012020161600225492
2007-04-30,-0.007696778614053531,,0.03756522905006472,,,0.01183629149864203,,0.024384278812698404
2007-05-31,-0.0049268682554085745,,0.031684436545212115,,,0.039620746967455524,,0.006596317027410241
2007-06-30,-0.009517262425916325,,-0.024894097623630814,,,-0.018382233795279253,,-0.014897198589298274
2007-07-31,-0.004277345956859909,,-0.05115502472676958,,,-0.07396377919825836,,-0.010755106234278552
2007-08-31,0.0751562857297081,,0.01039855619621342,,,0.01707122321069286,,0.014248539586981562
2007-09-30,0.012738275258737367,,0.0323201143148276,,,0.01578297668599036,,0.03798619648483768
2007-10-31,0.11370280562679401,,-0.0016618038308483713,,,0.025286099267738928,,0.030381347998899334
2007-11-30,0.059128368246369536,,-0.05380484661383848,,,-0.07227785963533255,,-0.022766396752103166
2007-12-31,0.007108082505473825,,-0.018318184700647132,,,-0.009149489600847126,,-0.006130200495730285
2008-01-31,-0.04137366102999985,,-0.04939615184277991,,,-0.06744891568479851,,-0.02620253080606717
2008-02-29,0.02606261388757777,,-0.040351515270322026,,,-0.030620739448527643,,-0.008490049045669
2008-03-31,-0.04480620249632746,,-0.006180514386696832,,,-0.008358347970733392,,-0.001402687673170498
2008-04-30,-0.0053770142868218886,,0.040976642538081996,,,0.043740706044132625,,0.024221255474202976
2008-05-31,0.007399009428302319,,-0.007546603155069585,,,0.043998259546944384,,0.006207915049321746
2008-06-30,-0.10974803601182799,,-0.0969746716969437,,,-0.0769639580871417,,-0.047311580320609746
2008-07-31,-0.04711311229006715,,-0.0032876580013139743,,,0.035230303380390515,,-0.007185572544822381
2008-08-31,0.017765017622924564,,0.014993579135259418,,,0.03445441117511335,,-0.005264656629895313
2008-09-30,0.12484547020347098,,-0.07002173879421864,,,-0.07901505223177524,,-0.05968752996124388
2008-10-31,-0.12707984392984437,,-0.16314240248685438,,,-0.21035871495295486,,-0.12874144107895666
2008-11-30,-0.08910207583101296,,-0.06680001011722062,,,-0.11955558507055777,,-0.012197734768932633
2008-12-31,-0.08145190489008425,,0.014943313128555014,,,0.04805728964606493,,0.06876436899185401
2009-01-31,-0.07000622410480417,,-0.11103038970761692,,,-0.09666928667753838,,-0.06687432094669754
2009-02-28,-0.14228802565355225,,-0.13565607471709729,,,-0.11992919237643097,,-0.06409135573444837
2009-03-31,0.09964404969699633,,0.08194541380870743,,,0.0773761959473511,,0.0645275187755798
2009-04-30,0.08677938969174036,,0.11005944739717387,,,0.15376445625432766,,0.06371602444776835
2009-05-31,-0.030342587822204448,,0.07103007584466581,,,0.034006387362875534,,0.048058598583140544
2009-06-30,-0.025672013675664417,,-0.010863333755032466,,,0.018038794229909384,,-0.004401438165552063
2009-07-31,0.09813899553327364,,0.07954596709294458,,,0.09161066587025622,,0.05875214739726341
2009-08-31,0.033070894357893885,,0.05212501920032418,,,0.029232215209123103,,0.02806021311486261
2009-09-30,0.011159857730136603,,0.03212530399783907,,,0.055525942270193904,,0.03971706206550206
2009-10-31,-0.012037246966351778,,-0.026476345719251282,,,-0.06490694153669418,,-0.013824629315216441
